Test File Name,Command,Positive,Negative
suite_sys_admin_boundaries.json,admin.notice,Y,Y
suite_sys_admin_boundaries.json,admin.shutdown_warning,N,Y
suite_combat_toll_fighters_v2.json,auth.login,Y,Y
suite_auth_session.json,auth.logout,Y,N
suite_bucket1_remainder_auth_bounty.json,auth.mfa.totp.verify,Y,Y
suite_auth_session.json,auth.refresh,Y,Y
suite_combat_toll_fighters_v2.json,auth.register,Y,Y
suite_economy_and_bank.json,bank.balance,Y,Y
suite_economy_and_bank.json,bank.deposit,Y,Y
suite_economy_and_bank.json,bank.history,Y,Y
suite_economy_bank_leaderboard.json,bank.leaderboard,Y,Y
suite_economy_and_bank.json,bank.transfer,Y,Y
suite_economy_and_bank.json,bank.withdraw,Y,Y
suite_bucket1_remainder_auth_bounty.json,bounty.list,Y,Y
suite_bounty.json,bounty.post_federation,Y,Y
suite_bucket1_remainder_auth_bounty.json,bounty.post_hitlist,Y,Y
suite_bucket1_remainder_bulk_corp_fine.json,bulk.execute,Y,Y
suite_communication.json,chat.broadcast,Y,Y
suite_communication.json,chat.history,Y,Y
suite_communication.json,chat.send,Y,Y
suite_combat_citadel.json,citadel.build,Y,N
suite_combat_citadel.json,citadel.upgrade,Y,N
suite_combat_and_crime.json,combat.attack,Y,Y
suite_combat_advanced.json,combat.attack_planet,Y,Y
suite_combat_advanced.json,combat.deploy_fighters,Y,Y
suite_combat_advanced.json,combat.deploy_mines,Y,Y
suite_combat_mines.json,combat.lay_mines,Y,Y
suite_combat_sector_hazards.json,combat.status,Y,Y
suite_combat_mines.json,combat.sweep_mines,Y,Y
suite_bucket1_remainder_bulk_corp_fine.json,corp.balance,Y,Y
suite_corp_advanced.json,corp.create,Y,Y
suite_economy_corp_funds.json,corp.deposit,Y,Y
suite_corp_advanced.json,corp.dissolve,Y,Y
suite_corp_advanced.json,corp.invite,Y,Y
suite_corp_advanced.json,corp.join,Y,Y
suite_corp_perms.json,corp.kick,Y,Y
suite_corp_advanced.json,corp.leave,Y,Y
suite_corp_advanced.json,corp.list,Y,N
suite_corp_advanced.json,corp.roster,Y,N
suite_bucket1_remainder_bulk_corp_fine.json,corp.statement,Y,Y
suite_corporations.json,corp.status,Y,Y
suite_corp_perms.json,corp.transfer_ceo,N,Y
suite_economy_corp_funds.json,corp.withdraw,Y,Y
suite_combat_advanced.json,deploy.fighters.list,Y,N
suite_combat_advanced.json,deploy.mines.list,Y,N
suite_port_operations.json,dock.status,Y,N
suite_combat_advanced.json,fighters.recall,Y,Y
suite_bucket1_remainder_bulk_corp_fine.json,fine.list,Y,Y
suite_economy_fine_pay.json,fine.pay,Y,Y
suite_economy_hardware_buy.json,hardware.buy,Y,Y
suite_ship_operations.json,hardware.list,Y,Y
suite_economy_insurance.json,insurance.claim.file,Y,Y
suite_economy_insurance.json,insurance.policies.buy,Y,Y
suite_bucket1_remainder_insurance_nav_news.json,insurance.policies.list,Y,Y
suite_chat_mail_news.json,mail.delete,Y,Y
suite_chat_mail_news.json,mail.inbox,Y,Y
suite_chat_mail_news.json,mail.read,Y,Y
suite_chat_mail_news.json,mail.send,Y,Y
suite_combat_advanced.json,mines.recall,Y,Y
suite_movement_move_autopilot_start.json,move.autopilot.start,Y,Y
suite_movement_move_autopilot_status.json,move.autopilot.status,Y,Y
suite_movement_move_autopilot_stop.json,move.autopilot.stop,Y,Y
suite_movement_nav.json,move.describe_sector,Y,Y
suite_navigation.json,move.pathfind,Y,Y
suite_movement_nav.json,move.scan,Y,Y
suite_movement_nav.json,move.transwarp,Y,Y
suite_movement_nav.json,move.warp,Y,Y
suite_movement_nav.json,nav.avoid.add,Y,Y
suite_movement_nav.json,nav.avoid.list,Y,Y
suite_movement_nav.json,nav.avoid.remove,Y,Y
suite_bucket1_remainder_insurance_nav_news.json,nav.avoid.set,Y,Y
suite_movement_nav.json,nav.bookmark.add,Y,Y
suite_movement_nav.json,nav.bookmark.list,Y,Y
suite_movement_nav.json,nav.bookmark.remove,Y,Y
suite_bucket1_remainder_insurance_nav_news.json,nav.bookmark.set,Y,Y
suite_chat_mail_news.json,news.get_feed,Y,Y
suite_bucket1_remainder_insurance_nav_news.json,news.mark_feed_read,Y,Y
suite_chat_mail_news.json,news.read,Y,Y
suite_chat_mail_news.json,notes.list,Y,N
suite_chat_mail_news.json,notice.ack,Y,Y
suite_chat_mail_news.json,notice.list,Y,N
NONE,planet.create,Y,Y
suite_planets.json,planet.deposit,Y,Y
NONE,planet.genesis,Y,Y
suite_planets.json,planet.genesis_create,Y,Y
suite_combat_planet_ops.json,planet.harvest,Y,Y
suite_planet_advanced.json,planet.info,Y,N
suite_planet_advanced.json,planet.land,Y,Y
suite_combat_planet_ops.json,planet.launch,Y,Y
suite_bucket1_remainder_planet.json,planet.market.buy_order,Y,Y
suite_bucket1_remainder_planet.json,planet.market.sell,Y,Y
suite_planet_ops.json,planet.rename,Y,Y
suite_planet_ops.json,planet.transfer_ownership,Y,Y
suite_bucket1_remainder_planet.json,planet.withdraw,Y,Y
suite_bucket1_remainder_player_settings.json,player.get_avoids,Y,Y
suite_bucket1_remainder_player_settings.json,player.get_bookmarks,Y,Y
suite_bucket1_remainder_player_settings.json,player.get_notes,Y,Y
suite_auth_and_settings.json,player.get_prefs,Y,Y
NONE,player.get_settings,N,N
suite_bucket1_remainder_player_settings.json,player.get_subscriptions,Y,Y
suite_bucket1_remainder_player_settings.json,player.get_topics,Y,Y
suite_player_status.json,player.list_online,Y,Y
suite_smoke.json,player.my_info,Y,Y
suite_bucket1_remainder_player_settings.json,player.ping,Y,Y
suite_bucket1_remainder_player_settings.json,player.rankings,Y,Y
suite_bucket1_remainder_player_settings.json,player.set_avoids,Y,Y
suite_bucket1_remainder_player_settings.json,player.set_bookmarks,Y,Y
suite_auth_and_settings.json,player.set_prefs,Y,Y
